,name,company,year,Price,kms_driven,fuel_type
208,Mahindra Bolero SLE,Mahindra,2017,330000,80200,Diesel
209,Force Motors Force,Force,2019,580000,3200,Diesel
210,Maruti Suzuki SX4,Maruti,2016,265000,46000,Diesel
211,Mahindra Jeep CL550,Mahindra,2023,379000,0,Diesel
212,Maruti Suzuki Alto,Maruti,2019,219000,5000,Petrol
213,Mahindra Jeep CL550,Mahindra,2022,385000,588,Diesel
214,Toyota Etios,Toyota,2015,275000,36000,Diesel
215,Volkswagen Polo,Volkswagen,2019,330000,38000,Diesel
216,Honda City ZX,Honda,2012,110000,45000,Petrol
217,Maruti Suzuki Wagon,Maruti,2010,80000,71200,Petrol
218,Honda City VX,Honda,2020,519000,52000,Diesel
219,Mahindra Thar CRDe,Mahindra,2020,730000,29000,Diesel
220,Mitsubishi Pajero Sport,Mitsubishi,2019,1475000,47000,Diesel
221,Audi A4 1.8,Audi,2013,699000,47000,Petrol
222,Mercedes Benz GLA,Mercedes,2019,2000000,20000,Diesel
223,Land Rover Freelander,Land,2019,2100000,30000,Diesel
224,Renault Kwid RXT,Renault,2021,340000,5000,Petrol
225,Tata Aria Pleasure,Tata,2018,390000,35000,Diesel
226,Mercedes Benz B,Mercedes,2018,1400000,31000,Petrol
227,Datsun GO T,Datsun,2020,245000,7000,Petrol
228,Tata Indigo eCS,Tata,2020,320000,175430,Diesel
229,Tata Indigo eCS,Tata,2020,320000,175400,Diesel
230,Honda Jazz VX,Honda,2020,450000,41000,Petrol
231,Honda Amaze 1.2,Honda,2018,311000,33000,Petrol
232,Honda Amaze,Honda,2017,284999,46000,Diesel
233,Honda City,Honda,2016,399999,45000,Petrol
234,Honda City,Honda,2019,599999,39000,Diesel
235,Honda Amaze,Honda,2019,344999,22000,Petrol
236,Audi A4 1.8,Audi,2013,699000,47000,Petrol
237,Force Motors Force,Force,2019,580000,3200,Diesel
238,Mahindra Scorpio S4,Mahindra,2019,855000,30000,Diesel
239,Hyundai i20 Active,Hyundai,2019,535000,37000,Diesel
240,Mini Cooper S,Mini,2017,1891111,13000,Petrol
241,Maruti Suzuki Ciaz,Maruti,2021,699000,14000,Petrol
242,Chevrolet Tavera Neo,Chevrolet,2017,375000,55000,Diesel
243,Honda Amaze,Honda,2017,284999,46000,Diesel
244,Hyundai Eon Sportz,Hyundai,2016,178000,30000,Petrol
245,Tata Sumo Gold,Tata,2017,300000,50000,Diesel
246,Maruti Suzuki Wagon,Maruti,2007,90000,45000,Petrol
247,Maruti Suzuki Esteem,Maruti,2010,95000,45000,Petrol
248,Maruti Suzuki Eeco,Maruti,2019,255000,9300,Petrol
249,Chevrolet Enjoy 1.4,Chevrolet,2017,245000,55000,Diesel
250,Hyundai i20 Asta,Hyundai,2016,329500,36200,Diesel
251,Ford Figo Diesel,Ford,2018,195000,50000,Diesel
252,Maruti Suzuki Eeco,Maruti,2019,251111,55000,Petrol
253,Maruti Suzuki Ertiga,Maruti,2018,569999,45000,Petrol
254,Maruti Suzuki Esteem,Maruti,2011,69999,51000,Petrol
255,Maruti Suzuki Ritz,Maruti,2018,299999,19000,Petrol
256,Maruti Suzuki Dzire,Maruti,2013,220000,46000,Petrol
257,Maruti Suzuki Ritz,Maruti,2017,399999,33000,Diesel
258,Maruti Suzuki SX4,Maruti,2014,249999,36000,Petrol
259,Maruti Suzuki Wagon,Maruti,2019,289999,22000,Petrol
260,Mini Cooper S,Mini,2017,1891111,13500,Petrol
261,Nissan Terrano XL,Nissan,2019,499999,60000,Diesel
262,Renault Duster 85,Renault,2017,489999,27000,Diesel
263,Renault Duster 85,Renault,2018,489999,59000,Diesel
264,Renault Duster 85,Renault,2019,549999,19000,Diesel
265,Maruti Suzuki Dzire,Maruti,2017,380000,30000,Petrol
266,Renault Kwid RXT,Renault,2022,325000,15000,Petrol
267,Maruti Suzuki Maruti,Maruti,2007,57000,56758,Petrol
268,Renault Kwid 1.0,Renault,2022,349999,10000,Petrol
269,Renault Lodgy 85,Renault,2022,689999,20000,Diesel
270,Renault Scala RxL,Renault,2018,349999,49000,Diesel
271,Hyundai Grand i10,Hyundai,2018,410000,41000,Petrol
272,Maruti Suzuki Swift,Maruti,2015,225000,45000,Petrol
273,Chevrolet Beat LS,Chevrolet,2014,120000,43000,Petrol
274,Tata Indigo eCS,Tata,2020,320000,175430,Diesel
275,Hyundai Santro Xing,Hyundai,2004,59000,56450,Petrol
276,Hyundai Fluidic Verna,Hyundai,2019,540000,38000,Diesel
277,Chevrolet Beat LS,Chevrolet,2014,80000,56000,Petrol
278,Mahindra Quanto C8,Mahindra,2017,340000,37000,Diesel
279,Fiat Petra ELX,Fiat,2012,75000,65000,Petrol
280,Chevrolet Beat LS,Chevrolet,2019,220000,32700,Petrol
281,Skoda Fabia 1.2L,Skoda,2015,159500,38200,Diesel
282,Ford EcoSport Titanium,Ford,2020,599000,30000,Diesel
283,Hyundai Accent GLX,Hyundai,2010,80000,56000,Petrol
284,Mahindra TUV300 T4,Mahindra,2020,675000,9000,Diesel
285,Mini Cooper S,Mini,2017,1891111,13000,Petrol
286,Mini Cooper S,Mini,2017,1891111,13000,Petrol
287,Tata Indica V2,Tata,2012,150000,11000,Petrol
288,Mini Cooper S,Mini,2017,1891111,13000,Petrol
289,Tata Indigo CS,Tata,2013,72500,46000,Diesel
290,Maruti Suzuki Swift,Maruti,2023,610000,73,Petrol
291,Mahindra Scorpio VLX,Mahindra,2008,230000,160000,Diesel
292,Honda Accord,Honda,2013,175000,58559,Petrol
293,Mahindra Scorpio S4,Mahindra,2019,855000,30000,Diesel
294,Chevrolet Tavera Neo,Chevrolet,2017,375000,55000,Diesel
295,Ford EcoSport Titanium,Ford,2018,520000,57000,Diesel
296,Maruti Suzuki Ertiga,Maruti,2019,524999,50000,Diesel
297,Honda Amaze,Honda,2018,299999,37000,Petrol
298,Maruti Suzuki Dzire,Maruti,2016,299999,40000,Petrol
299,Honda City,Honda,2015,284999,55000,Petrol
300,Mahindra Scorpio 2.6,Mahindra,2011,220000,170000,Diesel
301,Maruti Suzuki Dzire,Maruti,2018,424999,55000,Diesel
302,Honda City,Honda,2019,644999,39000,Petrol
303,Honda Mobilio,Honda,2018,399999,44000,Petrol
304,Toyota Corolla Altis,Toyota,2013,199999,65000,Petrol
305,Honda City,Honda,2018,584999,39000,Petrol
306,Skoda Laura,Skoda,2016,349999,44000,Diesel
307,Renault Duster,Renault,2019,449999,49000,Diesel
308,Maruti Suzuki Ertiga,Maruti,2022,799999,9000,Diesel
309,Maruti Suzuki Dzire,Maruti,2019,444999,45000,Diesel
310,Mahindra XUV500,Mahindra,2018,649999,47000,Diesel
311,Hyundai Verna Fluidic,Hyundai,2016,444999,40000,Diesel
312,Maruti Suzuki Vitara,Maruti,2020,689999,29000,Diesel
313,Maruti Suzuki Wagon,Maruti,2020,344999,15000,Petrol
314,Mahindra Scorpio,Mahindra,2019,944999,45000,Diesel
315,Honda Amaze,Honda,2018,274999,35000,Petrol
316,Mahindra XUV500,Mahindra,2017,689999,80000,Diesel
317,Mahindra Scorpio,Mahindra,2017,574999,68000,Diesel
318,Skoda Laura,Skoda,2017,374999,50000,Diesel
319,Volkswagen Polo,Volkswagen,2014,199999,60000,Diesel
320,Hyundai Elite i20,Hyundai,2020,549999,9000,Petrol
321,Tata Manza Aura,Tata,2016,130000,72000,Diesel
322,Chevrolet Sail UVA,Chevrolet,2017,210000,60000,Petrol
323,Renault Duster 110,Renault,2016,501000,38000,Diesel
324,Hyundai Verna Fluidic,Hyundai,2017,401000,45000,Diesel
325,Audi A4 2.0,Audi,2016,1350000,40000,Diesel
326,Hyundai Elantra SX,Hyundai,2017,600000,20000,Petrol
327,Mahindra Scorpio VLX,Mahindra,2017,610000,35000,Diesel
328,Mahindra KUV100 K8,Mahindra,2020,400000,20000,Diesel
329,Renault Scala RxL,Renault,2019,375000,25000,Diesel
330,Mahindra Quanto C8,Mahindra,2017,375000,20000,Diesel
331,Hyundai Grand i10,Hyundai,2018,365000,20000,Petrol
332,Hyundai i20 Active,Hyundai,2019,500000,18000,Petrol
333,Mahindra Xylo E4,Mahindra,2016,400000,35000,Diesel
334,Hyundai Grand i10,Hyundai,2021,524999,6821,Petrol
335,Hyundai i20,Hyundai,2018,449999,23000,Petrol
336,Hyundai Eon,Hyundai,2018,174999,14000,Petrol
337,Hyundai i10,Hyundai,2016,244999,38000,Petrol
338,Hyundai i20 Active,Hyundai,2019,574999,35000,Diesel
339,Datsun Redi GO,Datsun,2021,244999,22000,Petrol
340,Toyota Etios Liva,Toyota,2015,239999,41000,Petrol
341,Hyundai Accent,Hyundai,2014,99999,45000,Petrol
342,Hyundai Verna,Hyundai,2018,489999,44000,Diesel
343,Maruti Suzuki Swift,Maruti,2017,324999,45000,Diesel
344,Toyota Fortuner,Toyota,2015,1074999,52000,Diesel
345,Hyundai i10 Sportz,Hyundai,2016,230000,34000,Petrol
346,Mahindra Bolero Power,Mahindra,2022,699000,1800,Diesel
347,Mahindra XUV500,Mahindra,2019,1000000,15000,Diesel
348,Honda City 1.5,Honda,2014,240000,400000,Petrol
349,Chevrolet Spark LT,Chevrolet,2013,110000,44000,Petrol
350,Mahindra Jeep MM,Mahindra,2023,390000,60,Diesel
351,Renault Duster 110PS,Renault,2016,501000,35000,Diesel
352,Mahindra XUV500,Mahindra,2020,1130000,72000,Diesel
353,Tata Indigo eCS,Tata,2018,250000,40000,Diesel
354,Mahindra Bolero SLE,Mahindra,2017,330000,80200,Diesel
355,Force Motors Force,Force,2019,580000,3200,Diesel
356,Skoda Rapid Elegance,Skoda,2017,340000,48000,Diesel
357,Tata Vista Quadrajet,Tata,2015,120000,90000,Diesel
358,Maruti Suzuki Alto,Maruti,2019,265000,12000,Petrol
359,Maruti Suzuki SX4,Maruti,2016,265000,46000,Diesel
360,Maruti Suzuki Zen,Maruti,2007,85000,69900,Petrol
361,Mahindra Jeep CL550,Mahindra,2023,379000,0,Diesel
362,Hyundai i10 Magna,Hyundai,2015,175000,45000,Petrol
363,Maruti Suzuki Alto,Maruti,2019,219000,5000,Petrol
364,Maruti Suzuki Swift,Maruti,2020,350000,166000,Diesel
365,Honda City ZX,Honda,2012,149000,42000,Petrol
366,Mahindra Jeep CL550,Mahindra,2022,385000,588,Diesel
367,Mahindra Jeep MM,Mahindra,2010,425000,122,Diesel
368,Chevrolet Beat Diesel,Chevrolet,2021,150000,62000,Diesel
369,Honda City 1.5,Honda,2014,225000,70000,Petrol
370,Hyundai Verna 1.4,Hyundai,2018,375000,36000,Petrol
371,Toyota Innova 2.5,Toyota,2016,770000,0,Diesel
372,Maruti Suzuki Maruti,Maruti,1999,30000,55000,Petrol
373,Toyota Etios,Toyota,2015,275000,36000,Diesel
374,Volkswagen Polo,Volkswagen,2019,330000,38000,Diesel
375,Maruti Suzuki Swift,Maruti,2018,335000,55000,Diesel
376,Hyundai Elite i20,Hyundai,2019,450000,20000,Diesel
377,Maruti Suzuki Swift,Maruti,2016,225000,40000,Petrol
378,Maruti Suzuki Versa,Maruti,2008,80000,50000,Petrol
379,Tata Indigo LX,Tata,2020,130000,104000,Diesel
380,Volkswagen Vento Konekt,Volkswagen,2015,245000,65000,Diesel
381,Mercedes Benz C,Mercedes,2006,399000,41000,Petrol
382,Maruti Suzuki Ertiga,Maruti,2017,450000,90000,Diesel
383,Honda City,Honda,2004,65000,80000,Petrol
384,Hyundai Santro Xing,Hyundai,2010,75000,46000,Petrol
385,Maruti Suzuki Omni,Maruti,2005,70000,70000,Petrol
386,Hyundai Sonata Transform,Hyundai,2021,190000,36469,Diesel
387,Hyundai Elite i20,Hyundai,2022,600000,7800,Petrol
388,Volkswagen Vento Konekt,Volkswagen,2015,245000,65000,Diesel
389,Maruti Suzuki Alto,Maruti,2021,240000,60000,Petrol
390,Maruti Suzuki Alto,Maruti,2015,155000,32000,Petrol
391,Honda Jazz S,Honda,2013,169999,24695,Petrol
392,Hyundai Grand i10,Hyundai,2021,450000,15141,Petrol
393,Maruti Suzuki Zen,Maruti,2005,40000,40000,Petrol
394,Mahindra Scorpio W,Mahindra,2016,165000,65000,Diesel
395,Maruti Suzuki Alto,Maruti,2018,270000,22000,Petrol
396,Hyundai Grand i10,Hyundai,2020,280000,59910,Diesel
397,Mahindra XUV500 W8,Mahindra,2016,560000,100000,Diesel
398,Hyundai Creta 1.6,Hyundai,2020,950000,25000,Petrol
399,Hyundai i20 Magna,Hyundai,2017,310000,35000,Petrol
400,Renault Duster 85,Renault,2019,715000,65000,Diesel
401,Hyundai Grand i10,Hyundai,2018,340000,35000,Petrol
402,Honda Brio V,Honda,2016,235000,33000,Petrol
403,Mahindra TUV300 T4,Mahindra,2021,610000,68000,Diesel
404,Chevrolet Spark LS,Chevrolet,2014,95000,23000,Petrol
405,Mahindra TUV300 T8,Mahindra,2022,1000000,4500,Diesel
406,Maruti Suzuki Swift,Maruti,2019,220000,129000,Diesel
407,Nissan X Trail,Nissan,2023,1200000,300,Diesel
408,Maruti Suzuki Alto,Maruti,2019,230000,5000,Petrol
409,Ford Ikon 1.3,Ford,2005,45000,65000,Petrol
410,Toyota Fortuner 3.0,Toyota,2014,940000,131000,Diesel
411,Tata Manza ELAN,Tata,2014,155555,111111,Petrol
412,Mercedes Benz A,Mercedes,2017,1500000,14000,Petrol
413,Chevrolet Beat LS,Chevrolet,2020,210000,22000,Diesel
414,Ford EcoSport Trend,Ford,2017,495000,38000,Diesel
415,Tata Indigo LS,Tata,2020,125000,70000,Diesel
416,Hyundai i20 Magna,Hyundai,2014,195000,36000,Petrol
417,Volkswagen Vento Highline,Volkswagen,2019,550000,34000,Diesel
418,Renault Kwid RXT,Renault,2019,270000,43000,Petrol
419,Ford EcoSport Titanium,Ford,2018,500000,40000,Diesel
420,Honda Amaze 1.5,Honda,2020,240000,160000,Diesel
421,Hyundai Verna 1.6,Hyundai,2021,800000,12000,Petrol
422,BMW 5 Series,BMW,2015,1299000,49000,Diesel
423,Skoda Superb 1.8,Skoda,2015,530000,68000,Petrol
424,Audi Q3 2.0,Audi,2017,1499000,37000,Diesel
425,Mahindra Bolero DI,Mahindra,2016,220000,59466,Diesel
